FUND CODE,foreign_cash,foreign_global_equity,foreign_interest_rate_instruments,foreign_other_equity,local_cash,local_interest_rate_instruments,local_listed_equity,local_listed_property,local_other_equity,local_physical_property
KN78,0.0106,0,0.002500012,0.418999983,0.026,0,0.534500004,0.0033,0.0041,0
KN79,0.0732,0,0.0779,0.1449,0.2989,0.27,0.1196,0.0013,0.0142,0
KN80,0.0048,0,0.0803,0.345,0.0288,0.101,0.3854,0.0547,0,0
KN92,0,0.274078163,0,0,0.34616636,0.178058921,0.201696556,0,0,0
KN93,0,0.274078163,0,0,0.34616636,0.178058921,0.201696556,0,0,0
KN94,0,0.398597656,0,0,0.073767986,0.126481485,0.401152873,0,0,0
KN96,0,0.375292229,0,0,0.073630609,0.060598424,0.490478738,0,0,0
KN97,0,0.375292229,0,0,0.073630609,0.060598424,0.490478738,0,0,0
KP54,0,0,0,0,0,0,1,0,0,0
KP55,0,0,0,0,0,0,1,0,0,0
KQ70,0.032,0,0.046,0.183,0.03,0.305,0.366,0.038,0,0
KR15,0.0619,0,0,0.8949,0.0324,0.0038,0.007,0,0,0
KR45,0,0,0,0.000323706,7.94965E-05,8.14981E-07,0,0.000140547,0,0.999455436
KT39,0.002599972,0,0.000599993,0.34029627,0.058610318,0.211897678,0.322696463,0.009799893,0.053499414,0
KT46,0.0066,0,0,0.372,0.0807,0.1776,0.3449,0.0137,0.0045,0
KT52,0,0,0,0,0.9212,0.0788,0,0,0,0
KT74,0.0007,0,0.0385,0,0.4318,0.529,0,0,0,0
KT75,0.0001,0,0,0,0.0283,0.201,0.7339,0.0367,0,0
KT76,0,0,0,0,0.1459,0.8541,0,0,0,0
KT98,0.0029,0,0.0628,0.0033,0.1165,0.8145,0,0,0,0
KU27,0.069566142,0.040609382,0.124325546,0.01486527,0.420446249,0.294440497,0.008678375,3.49641E-06,0.002200747,0.024863549
KU28,0.069566142,0.040609382,0.124325546,0.01486527,0.420446249,0.294440497,0.008678375,3.49641E-06,0.002200747,0.024863549
KU29,0.054860497,0.24897865,0.104481773,0.016834445,0.032599117,0.258722026,0.249559371,0.005097622,0.004916064,0.023950434
KU30,0.054860497,0.24897865,0.104481773,0.016834445,0.032599117,0.258722026,0.249559371,0.005097622,0.004916064,0.023950434
