Asset_Class,horizon_years,expected_return_pct,lower_return_pct,upper_return_pct
foreign_cash,1,0.019065497992385882,-0.02323579787305652,0.060060588046562335
foreign_cash,2,0.019303777469018568,-0.011091421448153449,0.04864205810606048
foreign_cash,3,0.019320080256955086,-0.005166430047012116,0.0431245666110347
foreign_cash,4,0.01928915644447793,-0.0017811447271151026,0.03999144602475191
foreign_cash,5,0.01924727026644213,8.035140114026618e-05,0.03795849730880252
foreign_cash,6,0.019308110076735385,0.0016452090047882617,0.03614155851699241
foreign_cash,7,0.01935181538252806,0.003299549922403111,0.03501230620624862
foreign_cash,8,0.019308136965963563,0.003983945830607238,0.03377868934887762
foreign_cash,9,0.019316514539924112,0.004934342906437905,0.03290730097145422
foreign_cash,10,0.01929348803529951,0.00566540200074428,0.03223738707381041
foreign_cash,11,0.019304281876605822,0.00628255615766804,0.03150418998183491
foreign_cash,12,0.019305589741129614,0.006828243286687519,0.03087080519177099
foreign_cash,13,0.019331483078758982,0.007362514543133525,0.030588759388994857
foreign_cash,14,0.019315729256584202,0.00776783518880797,0.030162897612573847
foreign_cash,15,0.01929528786524748,0.008152690396733275,0.029743860955476764
foreign_cash,16,0.019276232506180158,0.008575493304131765,0.029293062475424403
foreign_cash,17,0.01929663204049148,0.008918979800742965,0.029066764929154942
foreign_cash,18,0.019319132346471868,0.009265701886752353,0.02889286625725984
foreign_cash,19,0.019333646122829062,0.009447558972181413,0.02863622102649921
foreign_cash,20,0.019348009852675707,0.00968975143517703,0.02832137491531239
foreign_cash,21,0.01933519489854696,0.009959156067835373,0.028148720703776053
foreign_cash,22,0.019339780034083542,0.010297219485569054,0.027997949632977415
foreign_cash,23,0.019345579989187733,0.010424145964035958,0.02780061199920869
foreign_cash,24,0.01933794463338101,0.01059796441390115,0.02754850003714404
foreign_cash,25,0.019317462316742695,0.010817081663473616,0.027417480557103913
foreign_cash,26,0.019321279096067734,0.010905775791446803,0.02727380162755977
